0 1
0.125 0.992198
0.308557 0.952773
0.483452 0.885396
0.659416 0.79035
0.835246 0.670996
1.01109 0.530936
1.18694 0.374503
1.36278 0.206519
1.53862 0.0321666
1.71447 -0.143178
1.89031 -0.314108
2.06616 -0.475349
2.242 -0.62193
2.41785 -0.74933
2.59369 -0.853619
2.76953 -0.931581
2.94538 -0.980812
3.12122 -0.999793
3.29707 -0.987939
3.47291 -0.945615
3.64876 -0.874127
3.8246 -0.775679
4.00044 -0.653308
4.17629 -0.510788
4.35213 -0.352515
4.52798 -0.183369
4.70382 -0.00856824
4.87966 0.166497
5.05551 0.336427
5.23135 0.495982
5.4072 0.640239
5.58304 0.76475
5.75889 0.865676
5.93473 0.939902
6.11057 0.985141
6.28642 0.999996
6.46226 0.984009
6.63811 0.937675
6.81395 0.86242
6.9898 0.760568
7.16564 0.635258
7.34148 0.490356
7.51733 0.33033
7.69317 0.160117
7.86902 -0.0150347
8.04486 -0.189723
8.22071 -0.358559
8.39655 -0.516337
8.57239 -0.658191
8.74824 -0.779745
8.92408 -0.87725
9.09993 -0.947699
9.27577 -0.98892
9.45162 -0.999641
9.62746 -0.979532
9.8033 -0.929212
9.97915 -0.850234
10 -0.839073
