0 1
0.01 0.995001
0.03 0.985007
0.07 0.965053
0.127577 0.936462
0.182392 0.909465
0.237348 0.882696
0.292087 0.856408
0.346651 0.830655
0.401033 0.805508
0.455235 0.781037
0.509255 0.757305
0.563093 0.734374
0.61675 0.712302
0.670226 0.691142
0.723522 0.670946
0.776642 0.651759
0.829586 0.633625
0.882359 0.616583
0.934963 0.600667
0.987405 0.585911
1.03969 0.572342
1.09182 0.559984
1.14381 0.548859
1.19567 0.538986
1.24741 0.530379
1.29904 0.52305
1.35057 0.517009
1.40202 0.512264
1.4534 0.508821
1.50474 0.506682
1.55605 0.50585
1.60735 0.506325
1.65865 0.508106
1.70999 0.511191
1.76138 0.515576
1.81283 0.521254
1.86436 0.528218
1.91598 0.536458
1.96772 0.545963
2.01958 0.556717
2.07157 0.568704
2.1237 0.581902
2.17598 0.596288
2.22842 0.611835
2.28101 0.628513
2.33378 0.646286
2.38671 0.665117
2.43982 0.684965
2.4931 0.705785
2.54656 0.727527
2.6002 0.750138
2.65402 0.773564
2.70801 0.797744
2.76218 0.822615
2.81654 0.84811
2.87107 0.874161
2.92577 0.900695
2.98065 0.927636
3.03571 0.954907
3.09093 0.982428
3.14632 1.01012
3.20188 1.03789
3.2576 1.06566
3.31349 1.09334
3.36952 1.12084
3.42571 1.14807
3.48205 1.17495
3.53853 1.20138
3.59515 1.22728
3.65191 1.25256
3.70879 1.27713
3.7658 1.30091
3.82292 1.32381
3.88015 1.34575
3.93749 1.36666
3.99493 1.38646
4.05246 1.40507
4.11007 1.42243
4.16776 1.43848
4.22553 1.45316
4.28336 1.46641
4.34125 1.47818
4.39919 1.48844
4.45717 1.49713
4.51519 1.50423
4.57324 1.50972
4.63132 1.51356
4.68941 1.51575
4.74751 1.51628
4.80562 1.51514
4.86372 1.51235
4.92181 1.5079
4.97988 1.50182
5.03793 1.49412
5.09595 1.48484
5.15393 1.47401
5.21186 1.46167
5.26974 1.44787
5.32756 1.43265
5.38531 1.41608
5.44299 1.39821
5.50059 1.37911
5.5581 1.35884
5.61552 1.33749
5.67284 1.31512
5.73004 1.29182
5.78714 1.26767
5.84411 1.24275
5.90096 1.21715
5.95767 1.19096
6.01425 1.16427
6.07068 1.13716
6.12697 1.10973
6.1831 1.08207
6.23908 1.05427
6.2949 1.02641
6.35055 0.998579
6.40603 0.97087
6.46135 0.943365
6.51649 0.916145
6.57145 0.88929
6.62624 0.862879
6.68085 0.836986
6.73527 0.811682
6.78952 0.787037
6.84359 0.763116
6.89747 0.739981
6.95117 0.717691
7.00469 0.6963
7.05803 0.675861
7.1112 0.656419
7.16418 0.638021
7.217 0.620704
7.26964 0.604506
7.32212 0.58946
7.37445 0.575594
7.42662 0.562934
7.47864 0.551502
7.53053 0.541316
7.5823 0.532394
7.63395 0.524747
7.68551 0.518386
7.73697 0.51332
7.78837 0.509553
7.83972 0.507091
7.89103 0.505934
7.94233 0.506086
7.99364 0.507543
8.04497 0.510305
8.09634 0.514368
8.14777 0.519726
8.19928 0.526372
8.25088 0.534297
8.30259 0.543489
8.35441 0.553936
8.40637 0.565618
8.45847 0.578518
8.51071 0.592612
8.56311 0.607874
8.61566 0.624274
8.66839 0.641779
8.72128 0.660352
8.77434 0.679952
8.82758 0.700535
8.881 0.722053
8.93459 0.744454
8.98836 0.767684
9.04231 0.791682
9.09644 0.816388
9.15075 0.841735
9.20524 0.867655
9.2599 0.894075
9.31474 0.920923
9.36975 0.94812
9.42493 0.975586
9.48028 1.00324
9.5358 1.031
9.59148 1.05878
9.64732 1.08649
9.70332 1.11404
9.75948 1.14135
9.81578 1.16832
9.87222 1.19488
9.92881 1.22092
