# r num1 ana1 num2 ana2 num3 ana3
4.3 0.116818 0.11669 -0.473 -0.407304 -0.317039 -0.196208
4.35 0.112415 0.112289 -0.476032 -0.410603 -0.304506 -0.195718
4.4 0.108163 0.108041 -0.478785 -0.413686 -0.291484 -0.195057
4.45 0.104058 0.103939 -0.481264 -0.416558 -0.277997 -0.194229
4.5 0.100097 0.099981 -0.483474 -0.419223 -0.264071 -0.193236
4.55 0.0962744 0.0961616 -0.485419 -0.421684 -0.249731 -0.192083
4.6 0.0925865 0.0924769 -0.487105 -0.423944 -0.235002 -0.190772
4.65 0.0890294 0.0889229 -0.488536 -0.426009 -0.21991 -0.189306
4.7 0.0855989 0.0854956 -0.489716 -0.427883 -0.204482 -0.18769
4.75 0.0822913 0.0821911 -0.490653 -0.429568 -0.188742 -0.185925
4.8 0.0791026 0.0790056 -0.491349 -0.43107 -0.172718 -0.184017
4.85 0.0760292 0.0759353 -0.49181 -0.432392 -0.156435 -0.181969
4.9 0.0730673 0.0729765 -0.492042 -0.433538 -0.139918 -0.179783
4.95 0.0702135 0.0701257 -0.49205 -0.434514 -0.123196 -0.177464
5 0.0674641 0.0673795 -0.491837 -0.435321 -0.106292 -0.175014
5.05 0.0648158 0.0647343 -0.491411 -0.435966 -0.0892335 -0.172439
5.1 0.0622653 0.0621868 -0.490774 -0.436451 -0.0720459 -0.16974
5.15 0.0598093 0.0597339 -0.489934 -0.436782 -0.0547547 -0.166922
5.2 0.0574447 0.0573723 -0.488894 -0.436961 -0.0373853 -0.163989
5.25 0.0551684 0.0550989 -0.487659 -0.436993 -0.0199629 -0.160944
5.3 0.0529773 0.0529109 -0.486235 -0.436882 -0.00251239 -0.157789
5.35 0.0508687 0.0508052 -0.484627 -0.436632 0.0149417 -0.15453
5.4 0.0488396 0.0487791 -0.482839 -0.436247 0.0323749 -0.15117
5.45 0.0468872 0.0468297 -0.480876 -0.435731 0.0497634 -0.147711
5.5 0.0450091 0.0449545 -0.478743 -0.435087 0.0670835 -0.144158
5.55 0.0432024 0.0431508 -0.476445 -0.434319 0.0843119 -0.140514
5.6 0.0414648 0.0414161 -0.473987 -0.433432 0.101426 -0.136782
5.65 0.0397937 0.0397479 -0.471372 -0.432429 0.118403 -0.132966
5.7 0.0381869 0.038144 -0.468606 -0.431313 0.135221 -0.12907
5.75 0.0366419 0.036602 -0.465693 -0.430088 0.151859 -0.125096
5.8 0.0351567 0.0351196 -0.462638 -0.428758 0.168295 -0.121048
5.85 0.033729 0.0336948 -0.459445 -0.427327 0.184509 -0.116929
5.9 0.0323567 0.0323254 -0.456119 -0.425797 0.200481 -0.112743
5.95 0.0310378 0.0310095 -0.452663 -0.424173 0.216192 -0.108493
6 0.0297704 0.029745 -0.449082 -0.422457 0.231622 -0.104181
6.05 0.0285526 0.0285301 -0.44538 -0.420654 0.246754 -0.0998118
6.1 0.0273825 0.027363 -0.441561 -0.418765 0.261568 -0.0953878
6.15 0.0262584 0.0262418 -0.437629 -0.416795 0.276049 -0.090912
6.2 0.0251785 0.0251649 -0.433588 -0.414747 0.290179 -0.0863876
