# z cos(z) linterp(z) linteg(z) qspline(z) qderiv(z) qinteg(z)
1.50000000 0.07073720 0.07073720 0.99728717 0.07073720 0.00000000 1.02051874
1.52000000 0.05077448 0.05076025 0.99850214 0.07073720 0.00000000 1.02193348
1.54000000 0.03079146 0.03078330 0.99931758 0.07073720 0.00000000 1.02334822
1.56000000 0.01079612 0.01079596 0.99973342 0.02079483 0.00000000 1.02426354
1.58000000 -0.00920354 -0.00920178 0.99974936 0.02079483 0.00000000 1.02467944
1.60000000 -0.02919952 -0.02919952 0.99936535 -0.02919952 0.00000000 1.02509534
1.62000000 -0.04918382 -0.04916807 0.99858167 -0.02919952 0.00000000 1.02451135
1.64000000 -0.06914845 -0.06913662 0.99739863 -0.02919952 0.00000000 1.02392736
1.66000000 -0.08908542 -0.08906561 0.99581641 -0.07912089 0.00000000 1.02284415
1.68000000 -0.10898675 -0.10895505 0.99383620 -0.07912089 0.00000000 1.02126174
1.70000000 -0.12884449 -0.12884449 0.99145821 -0.12884449 0.00000000 1.01967932
1.72000000 -0.14865070 -0.14860512 0.98868371 -0.12884449 0.00000000 1.01710243
1.74000000 -0.16839745 -0.16836574 0.98551400 -0.12884449 0.00000000 1.01452554
1.76000000 -0.18807684 -0.18803726 0.98194952 -0.17824606 0.00000000 1.01145463
1.78000000 -0.20768100 -0.20761968 0.97799296 -0.17824606 0.00000000 1.00788971
1.80000000 -0.22720209 -0.22720209 0.97364474 -0.22720209 0.00000000 1.00432479
1.82000000 -0.24663231 -0.24655736 0.96890714 -0.22720209 0.00000000 0.99978075
1.84000000 -0.26596388 -0.26591262 0.96378244 -0.22720209 0.00000000 0.99523671
1.86000000 -0.28518906 -0.28513011 0.95827133 -0.27559025 0.00000000 0.99020878
1.88000000 -0.30430017 -0.30420984 0.95237793 -0.27559025 0.00000000 0.98469698
1.90000000 -0.32328957 -0.32328957 0.94610293 -0.32328957 0.00000000 0.97918517
1.92000000 -0.34214965 -0.34204607 0.93944958 -0.32328957 0.00000000 0.97271938
1.94000000 -0.36087288 -0.36080258 0.93242109 -0.32328957 0.00000000 0.96625359
1.96000000 -0.37945176 -0.37937403 0.92501840 -0.37018083 0.00000000 0.95931889
1.98000000 -0.39787887 -0.39776043 0.91724705 -0.37018083 0.00000000 0.95191527
2.00000000 -0.41614684 -0.41614684 0.90910798 -0.41614684 0.00000000 0.94451165
2.02000000 -0.43424835 -0.43411718 0.90060534 -0.41614684 0.00000000 0.93618872
2.04000000 -0.45217616 -0.45208752 0.89174329 -0.41614684 0.00000000 0.92786578
2.06000000 -0.46992311 -0.46982737 0.88252299 -0.46107269 0.00000000 0.91909358
2.08000000 -0.48748210 -0.48733674 0.87295135 -0.46107269 0.00000000 0.90987213
2.10000000 -0.50484610 -0.50484610 0.86302952 -0.50484610 0.00000000 0.90065068
2.12000000 -0.52200818 -0.52185073 0.85276256 -0.50484610 0.00000000 0.89055375
2.14000000 -0.53896145 -0.53885535 0.84215549 -0.50484610 0.00000000 0.88045683
2.16000000 -0.55569915 -0.55558636 0.83120971 -0.54735767 0.00000000 0.86993479
2.18000000 -0.57221457 -0.57204374 0.81993341 -0.54735767 0.00000000 0.85898764
2.20000000 -0.58850112 -0.58850112 0.80832796 -0.58850112 0.00000000 0.84804049
2.22000000 -0.60455227 -0.60437012 0.79639925 -0.58850112 0.00000000 0.83627047
2.24000000 -0.62036161 -0.62023912 0.78415316 -0.58850112 0.00000000 0.82450044
2.26000000 -0.63592282 -0.63579410 0.77159125 -0.62817362 0.00000000 0.81233370
2.28000000 -0.65122966 -0.65103506 0.75872296 -0.62817362 0.00000000 0.79977022
2.30000000 -0.66627602 -0.66627602 0.74554985 -0.66627602 0.00000000 0.78720675
2.32000000 -0.68105588 -0.68085084 0.73207858 -0.66627602 0.00000000 0.77388123
2.34000000 -0.69556333 -0.69542567 0.71831582 -0.66627602 0.00000000 0.76055571
2.36000000 -0.70979256 -0.70964920 0.70426331 -0.70271308 0.00000000 0.74686582
2.38000000 -0.72373788 -0.72352146 0.68993160 -0.70271308 0.00000000 0.73281156
2.40000000 -0.73739372 -0.73739372 0.67532245 -0.73739372 0.00000000 0.71875730
2.42000000 -0.75075460 -0.75052873 0.66044323 -0.73739372 0.00000000 0.70400942
2.44000000 -0.76381520 -0.76366375 0.64530130 -0.73739372 0.00000000 0.68926155
2.46000000 -0.77657028 -0.77641373 0.62989860 -0.77023125 0.00000000 0.67418530
2.48000000 -0.78901475 -0.78877867 0.61424668 -0.77023125 0.00000000 0.65878067
2.50000000 -0.80114362 -0.80114362 0.59834746 -0.80114362 0.00000000 0.64337605
2.52000000 -0.81295204 -0.81270758 0.58220895 -0.80114362 0.00000000 0.62735318
2.54000000 -0.82443529 -0.82427155 0.56583915 -0.80114362 0.00000000 0.61133030
2.56000000 -0.83558878 -0.83542058 0.54924016 -0.83005354 0.00000000 0.59501833
2.58000000 -0.84640804 -0.84615467 0.53242441 -0.83005354 0.00000000 0.57841726
2.60000000 -0.85688875 -0.85688875 0.51539397 -0.85688875 0.00000000 0.56181619
2.62000000 -0.86702672 -0.86676613 0.49815742 -0.85688875 0.00000000 0.54467841
2.64000000 -0.87681789 -0.87664351 0.48072333 -0.85688875 0.00000000 0.52754064
2.66000000 -0.88625834 -0.88608019 0.46309389 -0.88158220 0.00000000 0.51015593
2.68000000 -0.89534431 -0.89507616 0.44528232 -0.88158220 0.00000000 0.49252429
2.70000000 -0.90407214 -0.90407214 0.42729084 -0.90407214 0.00000000 0.47489264
2.72000000 -0.91243836 -0.91216424 0.40912848 -0.90407214 0.00000000 0.45681120
2.74000000 -0.92043962 -0.92025633 0.39080427 -0.90407214 0.00000000 0.43872976
