# z cos(z) linterp(z) linteg(z) qspline(z) qderiv(z) qinteg(z)
6.20000000 0.99654210 0.99654210 -0.08307209 0.99114394 0.00000000 -0.08298564
6.22000000 0.99800447 0.99770503 -0.06312962 0.99654210 0.00000000 -0.06305480
6.24000000 0.99906766 0.99886795 -0.04316389 0.99654210 0.00000000 -0.04312396
6.26000000 0.99973123 0.99953126 -0.02317740 0.99944942 0.00000000 -0.02316405
6.28000000 0.99999493 0.99969495 -0.00318514 0.99944942 0.00000000 -0.00317506
6.30000000 0.99985864 0.99985864 0.01681040 0.99944942 0.00000000 0.01681393
6.32000000 0.99932242 0.99902267 0.03679921 0.99985864 0.00000000 0.03681110
6.34000000 0.99838648 0.99818671 0.05677130 0.99985864 0.00000000 0.05680828
6.36000000 0.99705120 0.99685197 0.07672419 0.99776873 0.00000000 0.07678455
6.38000000 0.99531712 0.99501844 0.09664289 0.99776873 0.00000000 0.09673993
6.40000000 0.99318492 0.99318492 0.11652492 0.99776873 0.00000000 0.11669530
6.42000000 0.99065546 0.99035842 0.13636036 0.99318492 0.00000000 0.13655900
6.44000000 0.98772975 0.98753191 0.15613926 0.99318492 0.00000000 0.15642270
6.46000000 0.98440896 0.98421246 0.17585917 0.98611866 0.00000000 0.17621573
6.48000000 0.98069443 0.98040004 0.19550529 0.98611866 0.00000000 0.19593811
6.50000000 0.97658763 0.97658763 0.21507517 0.98611866 0.00000000 0.21566048
6.52000000 0.97209020 0.97179883 0.23455903 0.97658763 0.00000000 0.23519223
6.54000000 0.96720395 0.96701003 0.25394712 0.97658763 0.00000000 0.25472398
6.56000000 0.96193084 0.96173902 0.27323702 0.96461563 0.00000000 0.27413602
6.58000000 0.95627296 0.95598581 0.29241427 0.96461563 0.00000000 0.29342833
6.60000000 0.95023259 0.95023259 0.31147646 0.96461563 0.00000000 0.31272064
6.62000000 0.94381214 0.94352934 0.33041408 0.95023259 0.00000000 0.33172529
6.64000000 0.93701418 0.93682609 0.34921763 0.95023259 0.00000000 0.35072995
6.66000000 0.92984142 0.92965621 0.36788479 0.93347447 0.00000000 0.36956702
6.68000000 0.92229674 0.92201968 0.38640155 0.93347447 0.00000000 0.38823651
6.70000000 0.91438315 0.91438315 0.40476557 0.93347447 0.00000000 0.40690599
6.72000000 0.90610382 0.90583243 0.42296773 0.91438315 0.00000000 0.42519366
6.74000000 0.89746206 0.89728171 0.44099887 0.91438315 0.00000000 0.44348132
6.76000000 0.88846133 0.88828457 0.45885677 0.89300634 0.00000000 0.46155522
6.78000000 0.87910522 0.87884103 0.47652802 0.89300634 0.00000000 0.47941534
6.80000000 0.86939749 0.86939749 0.49401041 0.89300634 0.00000000 0.49727547
6.82000000 0.85934201 0.85908473 0.51129523 0.86939749 0.00000000 0.51466342
6.84000000 0.84894280 0.84877197 0.52837380 0.86939749 0.00000000 0.53205137
6.86000000 0.83820403 0.83803750 0.54524400 0.84361560 0.00000000 0.54918150
6.88000000 0.82712998 0.82688130 0.56189319 0.84361560 0.00000000 0.56605381
6.90000000 0.81572510 0.81572510 0.57831925 0.84361560 0.00000000 0.58292612
6.92000000 0.80399394 0.80375335 0.59451404 0.81572510 0.00000000 0.59924063
6.94000000 0.79194119 0.79178159 0.61046938 0.81572510 0.00000000 0.61555513
6.96000000 0.77957167 0.77941702 0.62618334 0.78579572 0.00000000 0.63157034
6.98000000 0.76689033 0.76665964 0.64164410 0.78579572 0.00000000 0.64728625
7.00000000 0.75390225 0.75390225 0.65684972 0.78579572 0.00000000 0.66300216
7.02000000 0.74061262 0.74039112 0.67179265 0.75390225 0.00000000 0.67808021
7.04000000 0.72702676 0.72687999 0.68646537 0.75390225 0.00000000 0.69315825
7.06000000 0.71315009 0.71300888 0.70086605 0.72012443 0.00000000 0.70789852
7.08000000 0.69898817 0.69877777 0.71498392 0.72012443 0.00000000 0.72230101
7.10000000 0.68454667 0.68454667 0.72881717 0.72012443 0.00000000 0.73670350
7.12000000 0.66983135 0.66963116 0.74235894 0.68454667 0.00000000 0.75039443
7.14000000 0.65484812 0.65471565 0.75560241 0.68454667 0.00000000 0.76408537
7.16000000 0.63960295 0.63947658 0.76854595 0.64725789 0.00000000 0.77740341
7.18000000 0.62410195 0.62391395 0.78117986 0.64725789 0.00000000 0.79034857
7.20000000 0.60835131 0.60835131 0.79350251 0.64725789 0.00000000 0.80329373
7.22000000 0.59235735 0.59218046 0.80550783 0.60835131 0.00000000 0.81546075
7.24000000 0.57612645 0.57600960 0.81718973 0.60835131 0.00000000 0.82762778
7.26000000 0.55966511 0.55955484 0.82854679 0.56792417 0.00000000 0.83939053
7.28000000 0.54297990 0.54281618 0.83957050 0.56792417 0.00000000 0.85074902
7.30000000 0.52607752 0.52607752 0.85025944 0.56792417 0.00000000 0.86210750
7.32000000 0.50896471 0.50881289 0.86060834 0.52607752 0.00000000 0.87262905
7.34000000 0.49164832 0.49154826 0.87061195 0.52607752 0.00000000 0.88315060
7.36000000 0.47413527 0.47404222 0.88026907 0.48291594 0.00000000 0.89324054
7.38000000 0.45643258 0.45629477 0.88957244 0.48291594 0.00000000 0.90289886
7.40000000 0.43854733 0.43854733 0.89852086 0.48291594 0.00000000 0.91255717
7.42000000 0.42048666 0.42036143 0.90710994 0.43854733 0.00000000 0.92132812
7.44000000 0.40225780 0.40217552 0.91533531 0.43854733 0.00000000 0.93009907
7.46000000 0.38386804 0.38379312 0.92319598 0.39308257 0.00000000 0.93841537
7.48000000 0.36532474 0.36521422 0.93068606 0.39308257 0.00000000 0.94627702
7.50000000 0.34663532 0.34663532 0.93780455 0.39308257 0.00000000 0.95413867
7.52000000 0.32780724 0.32770985 0.94454800 0.34663532 0.00000000 0.96107138
7.54000000 0.30884805 0.30878439 0.95091295 0.34663532 0.00000000 0.96800408
7.56000000 0.28976532 0.28970929 0.95689863 0.29932165 0.00000000 0.97446365
7.58000000 0.27056670 0.27048457 0.96250057 0.29932165 0.00000000 0.98045008
7.60000000 0.25125984 0.25125984 0.96771801 0.29932165 0.00000000 0.98643652
7.62000000 0.23185249 0.23178391 0.97254845 0.25125984 0.00000000 0.99146171
7.64000000 0.21235240 0.21230798 0.97698937 0.25125984 0.00000000 0.99648691
7.66000000 0.19276737 0.19273078 0.98104026 0.20257001 0.00000000 1.00102521
7.68000000 0.17310524 0.17305232 0.98469810 0.20257001 0.00000000 1.00507661
7.70000000 0.15337386 0.15337386 0.98796236 0.20257001 0.00000000 1.00912801
7.72000000 0.13358114 0.13354206 0.99083152 0.15337386 0.00000000 1.01219549
7.74000000 0.11373499 0.11371026 0.99330404 0.15337386 0.00000000 1.01526296
7.76000000 0.09384335 0.09382657 0.99537967 0.10379436 0.00000000 1.01783465
7.78000000 0.07391417 0.07389100 0.99705684 0.10379436 0.00000000 1.01991053
7.80000000 0.05395542 0.05395542 0.99833531 0.10379436 0.00000000 1.02198642
7.82000000 0.03397509 0.03396590 0.99921452 0.05395542 0.00000000 1.02306553
7.84000000 0.01398118 0.01397638 0.99969394 0.05395542 0.00000000 1.02414464
7.86000000 -0.00601833 -0.00601513 0.99977357 0.00398162 0.00000000 1.02472401
7.88000000 -0.02601543 -0.02600863 0.99945333 0.00398162 0.00000000 1.02480364
7.90000000 -0.04600213 -0.04600213 0.99873322 0.00398162 0.00000000 1.02488327
7.92000000 -0.06597042 -0.06594963 0.99761370 -0.04600213 0.00000000 1.02396323
7.94000000 -0.08591233 -0.08589714 0.99609524 -0.04600213 0.00000000 1.02304319
7.96000000 -0.10581987 -0.10579672 0.99417806 -0.09587089 0.00000000 1.02162446
7.98000000 -0.12568509 -0.12564838 0.99186361 -0.09587089 0.00000000 1.01970704
8.00000000 -0.14550003 -0.14550003 0.98915212 -0.09587089 0.00000000 1.01778962
8.02000000 -0.16525678 -0.16520622 0.98604506 -0.14550003 0.00000000 1.01487962
8.04000000 -0.18494743 -0.18491241 0.98254387 -0.14550003 0.00000000 1.01196962
8.06000000 -0.20456410 -0.20452123 0.97864905 -0.19476550 0.00000000 1.00856697
8.08000000 -0.22409894 -0.22403269 0.97436351 -0.19476550 0.00000000 1.00467166
8.10000000 -0.24354415 -0.24354415 0.96968774 -0.19476550 0.00000000 1.00077635
8.12000000 -0.26289195 -0.26281212 0.96462418 -0.24354415 0.00000000 0.99590546
8.14000000 -0.28213459 -0.28208009 0.95917526 -0.24354415 0.00000000 0.99103458
8.16000000 -0.30126438 -0.30120223 0.95334170 -0.29171407 0.00000000 0.98568200
8.18000000 -0.32027368 -0.32017855 0.94712790 -0.29171407 0.00000000 0.97984772
8.20000000 -0.33915486 -0.33915486 0.94053456 -0.29171407 0.00000000 0.97401343
8.22000000 -0.35790039 -0.35779209 0.93356509 -0.33915486 0.00000000 0.96723034
8.24000000 -0.37650276 -0.37642932 0.92622288 -0.33915486 0.00000000 0.96044724
8.26000000 -0.39495454 -0.39487372 0.91850888 -0.38574794 0.00000000 0.95319821
8.28000000 -0.41324834 -0.41312528 0.91042889 -0.38574794 0.00000000 0.94548325
8.30000000 -0.43137684 -0.43137684 0.90198387 -0.38574794 0.00000000 0.93776829
8.32000000 -0.44933281 -0.44919712 0.89317813 -0.43137684 0.00000000 0.92914076
8.34000000 -0.46710904 -0.46701740 0.88401599 -0.43137684 0.00000000 0.92051322
8.36000000 -0.48469844 -0.48459976 0.87449863 -0.47592754 0.00000000 0.91144018
8.38000000 -0.50209396 -0.50194421 0.86463319 -0.47592754 0.00000000 0.90192163
8.40000000 -0.51928865 -0.51928865 0.85442086 -0.47592754 0.00000000 0.89240308
8.42000000 -0.53627564 -0.53611392 0.84386683 -0.51928865 0.00000000 0.88201730
8.44000000 -0.55304812 -0.55293919 0.83297630 -0.51928865 0.00000000 0.87163153
8.46000000 -0.56959939 -0.56948384 0.82175067 -0.56135182 0.00000000 0.86082512
8.48000000 -0.58592283 -0.58574787 0.81019835 -0.56135182 0.00000000 0.84959809
8.50000000 -0.60201190 -0.60201190 0.79832075 -0.56135182 0.00000000 0.83837105
8.52000000 -0.61786018 -0.61767405 0.78612389 -0.60201190 0.00000000 0.82633081
8.54000000 -0.63346133 -0.63333619 0.77361379 -0.60201190 0.00000000 0.81429058
8.56000000 -0.64880909 -0.64867782 0.76079205 -0.64116727 0.00000000 0.80185878
8.58000000 -0.66389735 -0.66369894 0.74766828 -0.64116727 0.00000000 0.78903544
8.60000000 -0.67872005 -0.67872005 0.73424409 -0.64116727 0.00000000 0.77621209
8.62000000 -0.69327127 -0.69306258 0.72052627 -0.67872005 0.00000000 0.76263769
8.64000000 -0.70754519 -0.70740511 0.70652159 -0.67872005 0.00000000 0.74906329
8.66000000 -0.72153611 -0.72139043 0.69223185 -0.71457638 0.00000000 0.73513033
8.68000000 -0.73523842 -0.73501854 0.67766776 -0.71457638 0.00000000 0.72083880
8.70000000 -0.74864665 -0.74864665 0.66283111 -0.71457638 0.00000000 0.70654727
8.72000000 -0.76175542 -0.76152626 0.64772938 -0.74864665 0.00000000 0.69157434
8.74000000 -0.77455951 -0.77440588 0.63237006 -0.74864665 0.00000000 0.67660141
8.76000000 -0.78705378 -0.78689515 0.61675509 -0.78084568 0.00000000 0.66130648
8.78000000 -0.79923324 -0.79899408 0.60089620 -0.78084568 0.00000000 0.64568957
8.80000000 -0.81109301 -0.81109301 0.58479533 -0.78084568 0.00000000 0.63007266
8.82000000 -0.82262836 -0.82238102 0.56846059 -0.81109301 0.00000000 0.61385080
8.84000000 -0.83383468 -0.83366903 0.55190009 -0.81109301 0.00000000 0.59762893
8.86000000 -0.84470746 -0.84453747 0.53511593 -0.83931303 0.00000000 0.58112487
8.88000000 -0.85524238 -0.85498634 0.51812069 -0.83931303 0.00000000 0.56433861
8.90000000 -0.86543521 -0.86543521 0.50091647 -0.83931303 0.00000000 0.54755235
8.92000000 -0.87528188 -0.87501882 0.48351193 -0.86543521 0.00000000 0.53024365
8.94000000 -0.88477844 -0.88460244 0.46591572 -0.86543521 0.00000000 0.51293494
8.96000000 -0.89392111 -0.89374145 0.44813006 -0.88939425 0.00000000 0.49538665
8.98000000 -0.90270622 -0.90243586 0.43016828 -0.88939425 0.00000000 0.47759877
9.00000000 -0.91113026 -0.91113026 0.41203262 -0.88939425 0.00000000 0.45981088
